H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1786.0,842.0,1006.0,672.0,702.0,626.0,1589.0
1800.0,1782.0,842.0,1008.0,671.0,699.0,625.0,1589.0
1800.0,1781.0,838.0,1005.0,665.0,695.0,625.0,1586.0
1800.0,1781.0,841.0,1005.0,670.0,700.0,629.0,1586.0
1800.0,1800.0,826.0,986.0,687.0,699.0,605.0,1605.0
1800.0,1800.0,831.0,981.0,692.0,708.0,611.0,1605.0
1800.0,1792.0,841.0,1003.0,677.0,703.0,624.0,1594.0
1800.0,1795.0,841.0,1001.0,680.0,705.0,622.0,1596.0
1800.0,1785.0,843.0,999.0,678.0,709.0,630.0,1590.0
1800.0,1790.0,838.0,998.0,677.0,701.0,623.0,1593.0
1800.0,1800.0,837.0,995.0,689.0,706.0,619.0,1605.0
1800.0,1795.0,839.0,1000.0,679.0,704.0,620.0,1596.0
1800.0,1782.0,842.0,998.0,677.0,707.0,626.0,1591.0
1800.0,1777.0,843.0,999.0,676.0,706.0,628.0,1589.0
1800.0,1776.0,837.0,1015.0,655.0,691.0,621.0,1579.0
1800.0,1781.0,842.0,998.0,677.0,707.0,626.0,1590.0
1800.0,1784.0,837.0,1008.0,665.0,692.0,620.0,1587.0
1800.0,1800.0,828.0,994.0,676.0,695.0,606.0,1596.0
1800.0,1795.0,839.0,1006.0,675.0,700.0,619.0,1595.0
1800.0,1800.0,832.0,993.0,681.0,699.0,612.0,1599.0
1800.0,1800.0,815.0,988.0,680.0,687.0,590.0,1605.0
1800.0,1800.0,835.0,999.0,680.0,700.0,615.0,1600.0
1800.0,1800.0,830.0,981.0,696.0,707.0,612.0,1609.0
1800.0,1790.0,838.0,1009.0,667.0,695.0,621.0,1590.0
1800.0,1783.0,844.0,1003.0,677.0,706.0,628.0,1591.0
1800.0,1781.0,841.0,1006.0,670.0,702.0,625.0,1587.0
1800.0,1783.0,842.0,1002.0,674.0,702.0,626.0,1590.0
1800.0,1800.0,835.0,996.0,683.0,702.0,617.0,1601.0
1800.0,1794.0,836.0,1009.0,667.0,692.0,616.0,1592.0
1800.0,1800.0,834.0,993.0,686.0,704.0,616.0,1602.0
1785.0,1800.0,817.0,984.0,708.0,707.0,596.0,1624.0
1800.0,1791.0,840.0,1004.0,676.0,702.0,622.0,1593.0
1800.0,1792.0,843.0,993.0,687.0,711.0,627.0,1596.0
