H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1619.9843576261078,1648.5633495930122,1662.2224628548795,1636.0598041895269,1609.856145554893,1592.7221043410577,1603.3572491330488,1602.0686004591669
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1392.238887611643,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,967.8713430655098,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1392.0144653255898,599.8965126214555,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1199.8766689883646,400.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,910.3086968985838,400.0,1606.422149163163
1800.0,1800.0,1800.0,1800.0,1800.0,783.802426714614,400.0,1696.6593170835276
1800.0,1800.0,1800.0,1800.0,1800.0,467.8824205201863,400.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,400.0,400.0,1800.0
1800.0,1800.0,1800.0,1800.0,1718.8635101856785,400.0,400.0,1800.0
1800.0,1800.0,1800.0,1779.282349899763,1706.8063297031244,400.0,400.0,1800.0
1800.0,1800.0,1800.0,1782.1412717400622,1454.0478440061065,474.0770508945553,400.0,1800.0
1800.0,1800.0,1800.0,1460.8997994534682,1465.6292467028525,575.0094416142174,400.0,1800.0
1800.0,1800.0,1800.0,1070.2898567763118,1237.9746585853525,400.0,445.9911806074396,1567.4787980996598
1800.0,1800.0,1800.0,642.8848341215431,993.8542110352827,618.5224596218186,650.9921051930575,1800.0
1800.0,1800.0,1800.0,400.0,980.3561149544785,504.7403332618008,566.6149211543938,1800.0
1800.0,1800.0,1800.0,400.0,810.9651918709832,400.0,721.5835001326291,1800.0
1800.0,1800.0,1800.0,400.0,731.3410765957237,400.0,889.6028084436881,1534.2435839462196
1800.0,1800.0,1800.0,400.0,539.2879278152473,400.0,819.6525995615534,1735.7063029829162
1800.0,1800.0,1800.0,400.0,587.6611918689929,400.0,971.3602531415971,1800.0
1800.0,1800.0,1800.0,400.0,471.2941052334861,400.0,1253.0030899782482,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1208.2835533622733,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1131.113159287681,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1200.8370964014664,1583.0523279498088
1800.0,1800.0,1800.0,400.0,400.0,400.0,1223.4561473040476,1346.7053974722223
1800.0,1800.0,1800.0,400.0,400.0,400.0,1365.2647938645819,1396.15941434461
1800.0,1800.0,1800.0,400.0,400.0,400.0,1346.8403914061498,1565.4866453610073
1800.0,1800.0,1800.0,400.0,400.0,400.0,1438.3937024387428,1030.5169612552395
1800.0,1800.0,1800.0,400.0,400.0,400.0,1367.7012019787462,1624.424276890457
1800.0,1800.0,1800.0,400.0,400.0,400.0,1642.1085672690147,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1791.1950035579014,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1696.8955686024806,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1800.0,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1800.0,1800.0
1800.0,1800.0,1800.0,400.0,400.0,400.0,1800.0,1613.0443293523158
