H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1800.0,816.0,780.0,563.0,1512.0,245.0
1800.0,891.0,253.0,512.0,511.0,266.0
1800.0,886.0,251.0,621.0,489.0,283.0
1661.0,869.0,200.0,602.0,320.0,247.0
1793.0,796.0,296.0,503.0,384.0,255.0
1757.0,830.0,200.0,481.0,310.0,252.0
1800.0,801.0,361.0,540.0,570.0,274.0
1800.0,998.0,223.0,566.0,200.0,289.0
1562.0,693.0,200.0,450.0,265.0,216.0
1657.0,822.0,200.0,517.0,223.0,225.0
1800.0,997.0,291.0,651.0,200.0,272.0
1800.0,913.0,430.0,542.0,717.0,282.0
1800.0,868.0,521.0,604.0,956.0,284.0
1800.0,958.0,329.0,572.0,683.0,282.0
1537.0,805.0,200.0,465.0,259.0,221.0
1800.0,279.0,951.0,509.0,200.0,206.0
1800.0,262.0,1151.0,473.0,200.0,200.0
1800.0,284.0,1388.0,328.0,200.0,211.0
1083.0,427.0,200.0,253.0,241.0,275.0
473.0,303.0,382.0,227.0,200.0,200.0
764.0,239.0,458.0,200.0,200.0,200.0
675.0,303.0,419.0,290.0,200.0,200.0
520.0,205.0,312.0,206.0,200.0,200.0
411.0,388.0,365.0,200.0,200.0,265.0
472.0,419.0,370.0,228.0,200.0,245.0
470.0,200.0,394.0,251.0,252.0,215.0
765.0,330.0,200.0,200.0,288.0,277.0
958.0,352.0,236.0,200.0,240.0,253.0
568.0,416.0,200.0,368.0,200.0,245.0
540.0,456.0,200.0,400.0,200.0,227.0
1800.0,930.0,477.0,568.0,975.0,273.0
1800.0,887.0,715.0,746.0,1367.0,268.0
1800.0,772.0,404.0,475.0,509.0,271.0
1800.0,736.0,494.0,319.0,594.0,293.0
1800.0,346.0,1598.0,305.0,200.0,200.0
1585.0,264.0,1175.0,420.0,245.0,200.0
1748.0,200.0,1800.0,337.0,200.0,205.0
1733.0,332.0,1521.0,316.0,200.0,200.0
1800.0,223.0,1490.0,200.0,200.0,207.0
1781.0,239.0,1090.0,537.0,200.0,220.0
1800.0,214.0,261.0,471.0,200.0,231.0
1644.0,278.0,200.0,923.0,246.0,271.0
1728.0,204.0,446.0,715.0,200.0,249.0
1800.0,201.0,1800.0,322.0,200.0,209.0
