,No_Control,ALIANA,PI-ALINEA,FL-ALINEA,Model 1,Model 2,Model 3,Model 4,Model 5
CA-134E #1,3077.3684210526317,6666.315789473684,6401.0526315789475,6682.894736842105,6291.315789473684,6817.894736842105,6737.368421052632,6449.210526315789,6742.894736842105
CA-134E #2,2425.2631578947367,6381.315789473684,6060.0,6353.684210526316,5996.0526315789475,6643.421052631579,6577.894736842105,6292.105263157895,6534.473684210527
CA-134E #3,2423.684210526316,6620.526315789473,5980.263157894737,6483.1578947368425,6061.578947368421,6823.421052631579,6802.894736842105,6304.736842105263,6615.0
I-5N #1,5467.894736842105,7483.421052631579,7466.8421052631575,7482.631578947368,7479.473684210527,7520.526315789473,7473.9473684210525,7503.1578947368425,7486.578947368421
I-5N #2,4730.526315789473,7468.421052631579,7489.736842105263,7538.684210526316,7531.578947368421,7657.894736842105,7451.8421052631575,7540.263157894737,7472.368421052632
CA-2S #1,4033.4210526315787,5267.368421052632,4944.473684210527,5433.9473684210525,5010.789473684211,5508.1578947368425,5347.105263157895,5223.9473684210525,5360.526315789473
CA-2S #2,4312.894736842105,5077.105263157895,4829.210526315789,5100.789473684211,4856.8421052631575,5336.0526315789475,5258.684210526316,5068.421052631579,5167.894736842105
CA-2S #3,4824.473684210527,5588.684210526316,5373.1578947368425,5581.578947368421,5337.631578947368,5796.315789473684,5719.736842105263,5519.210526315789,5619.473684210527
