,ALIANA,PI-ALINEA,FL-ALINEA,DMD-MPC,Proposed Model
CA-134E On-Ramp #1,1757.8955802590722,1547.6263817210415,1760.9756097560976,1764.0243902439024,1694.3658536585365
CA-134E On-Ramp #2,286.75853206777913,308.15777550470386,317.0731707317073,536.0243902439024,546.0467691280389
CA-134E On-Ramp #3,788.3511778845992,437.02823417838397,1013.4146341463414,1122.7560975609756,847.5525812220744
I-5N On-Ramp #2,349.2826591707657,342.2629894266709,609.0243902439024,235.9891703221176,482.0599493059069
CA-2S On-Ramp #1,344.2932766947394,289.03806906397534,434.1463414634146,276.1951219512195,523.560975609756
CA-2S On-Ramp #2,200.0,200.0,200.0,200.0,232.5609756097561
