H10E_1,H10E_2,H10E_3,H10W_1,H10W_2,H10W_3,H15N_1,H15N_2,H15N_3,H15N_4,H15S_1,H15S_2,H15S_3,H15S_4,H20E_1,H20E_2,H20W_1,H20W_2,H25N_1,H25N_2,H25N_3,H25N_4,H25S_1,H25S_2,H25S_3,H25S_4
32.8375,33.68,33.3925,32.597500000000004,33.4625,33.77333333333333,31.525,32.9825,32.6725,34.2275,32.225,32.1275,33.415,32.596666666666664,31.982499999999995,33.1525,31.29,33.574999999999996,31.82,32.63,31.7,34.36,33.515,33.8675,34.64,35.362500000000004
32.68,32.0775,30.965000000000003,31.69,32.0575,31.32,30.405,29.747500000000002,31.347500000000004,30.1525,31.56,31.505,31.71,31.08,30.695,32.567499999999995,30.955,32.31,30.717499999999998,27.61,31.485,31.5075,31.725,31.245,30.725,30.5975
31.9925,31.8775,30.487499999999997,32.21,32.19,32.08,30.3125,30.5825,30.5325,25.48,31.177500000000002,31.427500000000002,31.3825,31.740000000000002,28.1525,31.14,30.69,31.415,30.5325,25.1525,31.3,30.52,31.565000000000005,31.950000000000003,31.65,28.977500000000003
32.9525,31.5,30.097500000000004,30.7875,31.384999999999998,30.82,30.005000000000003,30.135,30.525,27.22,30.979999999999997,31.475,31.9375,30.375,31.112499999999997,31.865000000000002,29.6275,31.8,30.4675,27.1875,30.222499999999997,30.729999999999997,31.769999999999996,30.425,30.752500000000005,29.64
32.31,31.644999999999996,28.77,32.4275,32.2,27.605,30.482499999999998,29.9925,31.115,29.439999999999998,30.759999999999998,30.979999999999997,31.2975,29.65,27.185,32.035,30.4425,31.855,30.87,26.090000000000003,30.3525,28.924999999999997,31.9775,31.4375,31.515,25.520000000000003
32.7675,32.035,29.74,31.57,31.895000000000003,26.402500000000003,29.9675,29.9525,30.730000000000004,30.2225,31.009999999999998,30.5225,31.197499999999998,29.9275,28.377499999999998,30.917499999999997,31.17,32.815,30.6325,26.557499999999997,30.7625,28.2575,32.2475,33.52,31.685000000000002,30.980000000000004
32.09,31.5325,29.4525,32.67,32.9825,28.997500000000002,30.314999999999998,30.509999999999998,30.29,28.090000000000003,31.197499999999998,30.817500000000003,31.28,30.0225,29.1725,31.404999999999998,29.7475,31.747500000000002,31.2875,23.3825,30.2775,28.27,32.79,32.25,31.362499999999997,30.642500000000002
31.927500000000002,31.534999999999997,30.57,32.4775,33.2175,32.585,30.37,29.9,31.130000000000003,28.116666666666664,31.134999999999998,31.7075,31.387500000000003,30.6025,28.4675,31.069999999999997,31.08,31.127499999999998,29.8025,20.9025,31.557499999999997,30.83,31.9725,31.4075,31.229999999999997,31.090000000000003
32.2425,31.424999999999997,29.565,30.805,31.095,31.372500000000002,29.9525,29.6475,30.3575,22.6875,30.36,30.81,31.515,30.6325,28.3675,32.245000000000005,31.177500000000002,31.877499999999998,30.3975,18.41,30.775,30.39,31.2875,30.12,30.945,28.479999999999997
33.402499999999996,32.1175,30.552500000000002,31.0275,30.0625,24.625,30.252499999999998,29.5225,30.380000000000003,25.097500000000004,31.33,31.57,32.225,31.7775,29.760000000000005,31.4625,30.747500000000002,30.637500000000003,30.17,22.4675,30.005,29.88,31.064999999999998,29.595000000000002,30.365,29.505
33.0025,31.8725,30.155,32.015,31.787499999999998,25.325000000000003,29.987499999999997,29.685000000000002,30.0625,26.54,31.765,30.985,31.005000000000003,30.535,29.794999999999998,30.945,31.0475,31.975,30.105000000000004,23.535,29.9225,30.042499999999997,31.932499999999997,31.355000000000004,30.0725,23.6725
31.564999999999998,30.82,30.122500000000002,32.067499999999995,32.2375,24.7775,30.1,29.4425,29.980000000000004,27.376666666666665,31.3575,31.052500000000002,31.330000000000002,28.759999999999998,30.21,31.259999999999998,30.792499999999997,31.0075,30.15,20.955,31.119999999999997,29.645000000000003,31.465,30.04,31.182499999999997,27.0875
32.54,31.605,29.802500000000002,32.6425,32.91,26.6425,30.9225,30.4925,30.555,26.92,31.5025,30.36,30.665,29.957499999999996,29.495,31.577500000000004,31.632499999999997,30.902500000000003,29.87,16.835,31.005000000000003,31.345,32.095,31.042500000000004,31.1975,30.470000000000002
32.417500000000004,31.1125,30.240000000000002,32.724999999999994,32.5025,26.6725,30.08,30.1175,30.225,26.03,31.814999999999998,30.675,30.8575,29.1925,29.07,31.7025,30.4175,31.35,30.545,20.189999999999998,30.497500000000002,30.17,32.15,31.395000000000003,31.0225,30.04
31.9425,31.205,29.28,31.8525,32.235,27.145000000000003,29.975,29.665,30.5425,22.11,31.86,31.0875,31.784999999999997,30.122500000000002,28.555,30.817500000000003,30.650000000000006,31.5675,30.990000000000002,16.505,30.8825,30.990000000000002,31.585,32.17,31.0775,30.0675
32.38,31.775,28.387499999999996,31.802500000000002,31.909999999999997,26.66,30.03,28.6875,30.675000000000004,20.1575,31.7675,31.174999999999997,32.415,30.997500000000002,29.665,30.872500000000002,31.1125,31.605,29.825,17.615000000000002,30.572499999999998,27.26,31.652500000000003,30.9225,31.244999999999997,28.7325
33.0025,32.1975,31.39,31.560000000000002,31.64,25.6375,30.209999999999997,29.997500000000002,30.442499999999995,21.1,31.165,30.645,30.377499999999998,30.3575,29.76,31.019999999999996,30.095,31.3775,30.622500000000002,17.292499999999997,30.619999999999997,25.8925,30.792499999999997,31.625,30.9375,28.564999999999998
