H10E_onMeter_1,H10E_onMeter_2,H10W_onMeter_1,H10W_onMeter_2,H15N_onMeter_1,H15N_onMeter_2,H15S_onMeter_1,H15S_onMeter_2,H20E_onMeter_1,H20W_onMeter_1,H25N_onMeter_1,H25N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
0.21,0.17,0.29,0.16,0.44,0.47,0.27,0.26,0.21,0.34,0.19,0.21,0.46,0.29
0.19,0.11,0.15,0.18,0.41,0.53,0.11,0.26,0.28,0.15,0.27,0.22,0.31,0.14
0.2,0.29,0.07,0.28,0.26,0.48,0.2,0.33,0.32,0.22,0.26,0.38,0.18,0.26
0.09,0.35,0.12,0.21,0.26,0.48,0.19,0.42,0.3,0.23,0.1,0.32,0.34,0.1
0.27,0.46,0.07,0.38,0.28,0.51,0.08,0.35,0.39,0.36,0.19,0.4,0.34,0.06
0.14,0.41,0.16,0.26,0.39,0.4,0.09,0.16,0.55,0.31,0.39,0.52,0.36,0.22
0.11,0.37,0.14,0.12,0.29,0.39,0.18,0.13,0.35,0.46,0.35,0.48,0.47,0.19
0.17,0.25,0.1,0.21,0.13,0.58,0.17,0.14,0.24,0.37,0.37,0.37,0.54,0.23
0.22,0.16,0.12,0.23,0.17,0.53,0.29,0.07,0.42,0.38,0.37,0.46,0.44,0.27
0.09,0.17,0.24,0.33,0.08,0.42,0.35,0.23,0.33,0.54,0.56,0.28,0.45,0.47
0.21,0.05,0.21,0.43,0.27,0.47,0.2,0.13,0.23,0.49,0.55,0.09,0.38,0.59
0.32,0.16,0.27,0.33,0.46,0.46,0.13,0.3,0.28,0.57,0.44,0.27,0.54,0.4
0.38,0.25,0.42,0.24,0.42,0.28,0.29,0.46,0.42,0.56,0.37,0.08,0.34,0.46
0.26,0.45,0.51,0.43,0.51,0.41,0.44,0.52,0.47,0.37,0.46,0.06,0.19,0.52
0.18,0.5,0.48,0.42,0.33,0.31,0.34,0.57,0.58,0.53,0.48,0.23,0.27,0.42
0.25,0.53,0.43,0.38,0.24,0.48,0.44,0.55,0.6,0.44,0.37,0.08,0.16,0.52
0.27,0.44,0.24,0.51,0.18,0.51,0.26,0.46,0.52,0.59,0.44,0.19,0.1,0.48
0.17,0.35,0.32,0.45,0.2,0.34,0.36,0.47,0.39,0.5,0.41,0.15,0.2,0.31
0.26,0.33,0.22,0.3,0.11,0.15,0.22,0.44,0.5,0.48,0.3,0.25,0.1,0.28
0.08,0.26,0.1,0.4,0.3,0.22,0.32,0.42,0.48,0.51,0.36,0.2,0.12,0.35
0.18,0.22,0.23,0.44,0.42,0.23,0.4,0.39,0.55,0.51,0.36,0.26,0.3,0.27
0.08,0.19,0.29,0.37,0.44,0.05,0.46,0.51,0.39,0.36,0.37,0.06,0.31,0.29
0.13,0.38,0.17,0.37,0.39,0.1,0.44,0.43,0.58,0.48,0.23,0.25,0.43,0.33
0.13,0.57,0.34,0.18,0.2,0.17,0.49,0.44,0.52,0.51,0.16,0.44,0.53,0.26
0.13,0.53,0.27,0.25,0.26,0.26,0.34,0.53,0.43,0.58,0.1,0.54,0.35,0.32
0.12,0.36,0.22,0.3,0.17,0.16,0.51,0.5,0.51,0.55,0.18,0.45,0.21,0.43
0.21,0.44,0.29,0.11,0.32,0.13,0.47,0.38,0.58,0.55,0.27,0.55,0.35,0.29
0.27,0.48,0.41,0.05,0.51,0.32,0.28,0.35,0.48,0.56,0.25,0.4,0.36,0.41
0.32,0.38,0.49,0.07,0.5,0.2,0.39,0.23,0.35,0.52,0.32,0.6,0.21,0.28
0.33,0.45,0.48,0.14,0.5,0.3,0.43,0.34,0.28,0.47,0.26,0.55,0.3,0.26
0.32,0.45,0.44,0.34,0.39,0.23,0.39,0.44,0.2,0.47,0.08,0.38,0.3,0.38
0.32,0.29,0.57,0.34,0.39,0.12,0.48,0.38,0.38,0.27,0.24,0.26,0.22,0.41
0.34,0.31,0.53,0.27,0.33,0.15,0.51,0.49,0.44,0.21,0.13,0.08,0.19,0.55
