H10E_offRamp1,H10E_offRamp2,H10E_onRamp1,H10E_onRamp2,H10W_offRamp1,H10W_offRamp2,H10W_onRamp1,H10W_onRamp2,H15N_offRamp1,H15N_offRamp2,H15N_onRamp1,H15N_onRamp2,H15S_offRamp1,H15S_offRamp2,H15S_onRamp1,H15S_onRamp2,H20E_offRamp1,H20E_onRamp1,H20W_offRamp1,H20W_onRamp1,H25N_offRamp1,H25N_offRamp2,H25N_onRamp1,H25N_onRamp2,H25S_offRamp1,H25S_offRamp2,H25S_onRamp1,H25S_onRamp2
0.0,0.0,71.19,85.59,0.0,0.0,22.4,68.14,0.0,0.0,70.37,42.41,0.0,0.0,78.9,14.73,0.0,80.15,0.0,84.58,0.0,0.0,77.69,20.11,0.0,0.0,10.32,3.86
0.0,0.0,71.48,74.99,0.0,0.0,21.58,64.27,0.0,0.0,78.49,9.55,0.0,0.0,83.73,17.12,0.0,67.9,0.0,74.95,0.0,0.0,83.39,14.22,0.0,0.0,8.19,3.85
0.0,0.0,82.02,61.04,0.0,0.0,20.09,61.1,0.0,0.0,67.47,27.62,0.0,0.0,70.7,33.64,0.0,68.67,0.0,61.38,0.0,0.0,81.48,18.07,0.0,0.0,6.27,5.6
0.0,0.0,70.72,51.52,0.0,0.0,31.63,22.33,0.0,0.0,59.56,31.08,0.0,0.0,55.85,21.13,0.0,71.16,0.0,56.16,0.0,0.0,71.62,26.7,0.0,0.0,9.72,3.45
0.0,0.0,53.72,29.6,0.0,0.0,28.13,21.7,0.0,0.0,72.04,16.36,0.0,0.0,61.33,14.73,0.0,74.92,0.0,65.69,0.0,0.0,84.33,31.14,0.0,0.0,7.39,6.25
0.0,0.0,50.55,31.95,0.0,0.0,13.96,16.74,0.0,0.0,76.72,6.13,0.0,0.0,62.94,15.37,0.0,89.25,0.0,66.98,0.0,0.0,78.84,70.13,0.0,0.0,8.57,3.33
0.0,0.0,65.48,38.28,0.0,0.0,15.63,12.38,0.0,0.0,69.03,1.4,0.0,0.0,56.13,20.95,0.0,86.8,0.0,52.49,0.0,0.0,89.48,57.5,0.0,0.0,7.11,3.57
0.0,0.0,63.75,53.94,0.0,0.0,11.79,10.44,0.0,0.0,72.85,11.66,0.0,0.0,64.23,14.64,0.0,77.88,0.0,44.99,0.0,0.0,88.01,25.31,0.0,0.0,9.79,3.92
0.0,0.0,58.47,50.94,0.0,0.0,18.42,6.96,0.0,0.0,81.63,9.68,0.0,0.0,66.49,17.9,0.0,68.66,0.0,55.66,0.0,0.0,87.12,21.45,0.0,0.0,9.39,4.09
0.0,0.0,64.45,53.32,0.0,0.0,13.38,22.78,0.0,0.0,76.54,19.25,0.0,0.0,61.62,18.87,0.0,68.26,0.0,37.41,0.0,0.0,89.5,10.11,0.0,0.0,19.56,3.38
0.0,0.0,74.01,59.87,0.0,0.0,17.2,25.2,0.0,0.0,64.93,14.3,0.0,0.0,48.5,45.25,0.0,64.4,0.0,46.46,0.0,0.0,85.74,16.12,0.0,0.0,14.87,5.72
0.0,0.0,74.99,62.7,0.0,0.0,15.12,24.04,0.0,0.0,67.1,12.32,0.0,0.0,28.79,66.49,0.0,69.52,0.0,55.79,0.0,0.0,77.18,10.0,0.0,0.0,22.64,7.65
0.0,0.0,79.97,68.07,0.0,0.0,29.26,21.32,0.0,0.0,64.37,12.89,0.0,0.0,28.3,37.15,0.0,60.15,0.0,61.44,0.0,0.0,70.46,11.7,0.0,0.0,15.93,15.79
0.0,0.0,66.94,76.04,0.0,0.0,24.32,10.41,0.0,0.0,50.38,5.86,0.0,0.0,33.06,42.45,0.0,56.7,0.0,73.77,0.0,0.0,76.14,15.64,0.0,0.0,20.25,9.35
