H10E_1,H10E_2,H10E_3,H10W_1,H10W_2,H10W_3,H15N_1,H15N_2,H15N_3,H15N_4,H15S_1,H15S_2,H15S_3,H15S_4,H20E_1,H20E_2,H20W_1,H20W_2,H25N_1,H25N_2,H25N_3,H25N_4,H25S_1,H25S_2,H25S_3,H25S_4
4.257499999999999,5.0875,8.5175,2.5949999999999998,3.2049999999999996,15.510000000000002,6.294999999999999,8.012500000000001,6.005,12.155,3.1725000000000003,4.415,4.555,6.6975,3.6425,4.09,3.4099999999999997,4.074999999999999,5.9275,9.8425,4.215,4.6274999999999995,2.2,2.7350000000000003,3.505,3.9725
4.1,5.135,11.8775,2.03,2.5475,12.137500000000001,5.7,6.4875,4.1475,10.489999999999998,2.9299999999999997,3.855,3.48,5.4825,4.7075,4.0525,2.4275,2.8525,6.022499999999999,9.5475,4.7325,5.3374999999999995,2.71,3.6225,4.5375,4.827500000000001
3.3575000000000004,4.65,14.607500000000002,1.6925000000000001,1.7575,17.615000000000002,6.197499999999999,6.7525,4.6274999999999995,4.987500000000001,3.2575000000000003,4.4425,3.435,4.09,4.1674999999999995,4.035,3.8575,4.2924999999999995,6.5775,12.1275,4.24,9.5075,2.7425,3.3149999999999995,4.3725000000000005,5.249999999999999
3.01,3.7199999999999998,12.307500000000001,2.365,2.315,10.74,6.322500000000001,6.2625,5.672499999999999,7.8175,2.965,4.0875,3.5925000000000002,4.8925,5.295,4.967499999999999,3.4325,4.6075,6.137500000000001,20.03,3.6775,6.499999999999999,2.82,3.305,5.25,6.140000000000001
3.4,4.17,7.9925,2.855,2.645,3.5325,6.05,6.435,4.99,13.832500000000001,3.4174999999999995,3.9524999999999997,3.525,5.3,3.8275,4.452500000000001,3.8225000000000002,4.3425,6.345,16.564999999999998,3.6925,4.3575,2.9174999999999995,3.2525000000000004,4.51,12.182500000000001
3.5549999999999997,4.5275,5.8325,5.1475,5.0,8.23,6.515,7.055000000000001,5.15,12.3475,3.7675,4.675000000000001,4.5825,5.5225,4.385,4.5375,3.04,4.4425,6.312500000000001,33.0975,4.495,5.1,2.2525,3.2625,4.375,16.97
4.4025,4.720000000000001,6.4750000000000005,4.015,4.82,21.3525,5.885000000000001,7.295,5.005,11.105,3.7874999999999996,5.2475000000000005,5.177499999999999,7.792499999999999,3.515,4.1425,2.94,3.9175000000000004,5.8475,28.357499999999998,5.6525,6.8275,2.055,2.6025,3.4125,15.6475
4.0225,4.9025,5.785,2.6624999999999996,3.1475,19.02,5.862500000000001,6.422499999999999,5.17,7.710000000000001,3.5075000000000003,6.0525,5.2725,22.4525,3.8075,3.8424999999999994,3.1875,4.1675,5.4875,19.1925,5.8925,11.602500000000001,1.9825000000000002,2.6175,3.4775,6.0649999999999995
3.9875,4.325,5.9575,1.7300000000000002,2.3925,18.4825,6.14,6.705,5.18,5.9625,3.1125000000000003,5.26,3.9825,24.645,4.935,4.8549999999999995,3.045,3.78,5.435,17.1875,4.39,12.742500000000001,2.74,2.7725,3.6849999999999996,4.085
3.5999999999999996,4.4275,5.1000000000000005,1.6024999999999998,2.1075,11.577499999999999,6.2475000000000005,6.840000000000001,5.2675,6.550000000000001,2.9925000000000006,5.9525,3.1975,16.5125,6.33,6.0375,3.6275000000000004,4.31,5.222499999999999,22.115,3.6975000000000002,10.740000000000002,2.6525,3.5324999999999998,5.1925,5.805000000000001
