H10E_in,H10E_out,H10W_in,H10W_out,H15N_in,H15N_out,H15S_in,H15S_out,H20E_in,H20E_out,H20W_in,H20W_out,H25N_in,H25N_out,H25S_in,H25S_out
32.01,34.00333333333334,30.622500000000002,33.9375,31.92,34.535,32.175,36.17333333333333,32.2475,36.02333333333333,32.245000000000005,33.6125,31.675,35.1,31.8,34.733333333333334
30.875,32.012499999999996,30.115,32.83,31.7175,31.9625,32.1075,33.05,32.2425,32.395,31.7725,31.87,32.3875,32.3475,31.535000000000004,32.0175
30.575000000000003,31.21,27.2475,31.675000000000004,31.997500000000002,30.845,31.972499999999997,31.860000000000003,31.955,30.887499999999996,31.1925,31.472500000000004,32.1675,30.434999999999995,31.58,30.6125
30.987499999999997,30.8775,26.135,31.6325,31.5475,30.0925,32.0325,30.845,31.3825,30.795,31.4825,31.509999999999998,31.627499999999998,31.074999999999996,31.995,30.7975
31.452500000000004,30.597500000000004,29.5625,31.9125,31.805,30.6425,32.4375,32.0225,31.595,30.520000000000003,32.0775,30.735,32.3,30.925,31.8975,30.97
31.002499999999998,30.7825,29.735,32.465,32.145,29.689999999999998,31.6725,31.3925,31.865,31.0325,31.795,31.405,31.865000000000002,30.7825,31.2125,30.9825
32.0425,30.4325,24.522499999999997,31.709999999999997,31.8475,30.2425,31.75,31.152500000000003,31.770000000000003,30.32,31.78,30.985,32.3625,31.16,32.1125,31.4475
30.8475,30.972499999999997,11.1625,31.42,31.505,30.215000000000003,31.7325,31.52,31.5075,30.405,31.667499999999997,32.04,31.787499999999998,30.885,31.82,31.064999999999998
31.799999999999997,30.915,12.940000000000001,32.525,31.9675,30.465,31.38,32.075,31.25,30.840000000000003,31.887500000000003,31.02,31.295,31.402500000000003,30.96,31.1875
31.4025,31.5175,28.645,30.93,32.175,29.9475,31.53,31.64,30.887500000000003,30.5375,31.854999999999997,30.3725,31.3075,30.865,31.2025,30.8825
31.4625,31.262499999999996,30.567500000000003,30.8325,31.467499999999998,29.807499999999997,31.879999999999995,32.5725,31.314999999999998,30.627499999999998,31.740000000000002,31.435000000000002,31.49,30.2975,32.04,30.3075
30.3925,31.37,25.020000000000003,30.557499999999997,32.245,29.604999999999997,32.82,30.935000000000002,32.08,30.2875,31.5125,31.0675,31.8125,31.027500000000003,31.835,30.1425
31.3,30.480000000000004,15.785,31.5625,31.6175,30.247500000000002,32.0275,31.655,32.5175,30.6875,31.35,30.825,31.5075,31.310000000000002,31.9925,30.9725
31.360000000000003,30.410000000000004,8.385000000000002,32.3075,31.8425,30.5825,32.175,33.245,30.645,30.682499999999997,31.1425,31.445,31.735,30.622500000000002,31.9225,30.472500000000004
31.630000000000003,30.0925,12.5425,31.822499999999998,31.2175,30.0775,32.2225,31.905,31.759999999999998,30.265,31.61,31.259999999999998,32.1125,31.1475,31.955,30.6225
31.845,30.5875,10.8475,32.11,32.04,30.0775,31.835,32.004999999999995,32.295,29.72,31.645,30.8825,31.747500000000002,30.825000000000003,31.807499999999997,30.582500000000003
30.925,31.4925,12.4575,32.2375,31.3525,30.29,31.86,31.5825,31.442500000000003,30.5375,32.057500000000005,30.902499999999996,31.59,30.6625,31.43,30.875
31.057499999999997,31.1575,12.0,30.989999999999995,32.1275,30.835,32.405,31.845,31.884999999999998,30.435,31.0375,31.25,31.735,30.3275,31.09,29.6025
30.712500000000002,30.572499999999998,10.2875,31.9,32.03,30.0775,31.597499999999997,31.2175,31.3125,31.314999999999998,31.994999999999997,31.214999999999996,31.67,30.7675,31.92,30.435000000000002
31.5225,30.78,11.552499999999998,31.424999999999997,31.79,30.295,31.395,31.01,31.7325,31.215000000000003,31.4625,30.645,31.72,30.8625,31.372500000000002,31.130000000000003
31.605000000000004,30.495,10.3575,31.512500000000003,32.1475,29.747500000000002,32.48,31.1925,31.769999999999996,31.0775,31.6175,30.28,31.9775,31.082499999999996,32.175,31.42
31.240000000000002,30.9675,11.307500000000001,31.477500000000003,31.834999999999997,30.6225,31.887500000000003,31.715000000000003,31.557499999999997,30.732499999999998,32.019999999999996,31.880000000000003,32.0625,30.9375,31.505000000000003,31.5775
31.049999999999997,31.4375,10.905000000000001,31.6,31.619999999999997,30.222499999999997,32.55,32.037499999999994,31.945,30.5475,31.2525,31.465000000000003,31.577499999999997,31.4225,32.065,30.7875
31.7825,31.244999999999997,11.620000000000001,32.045,32.1125,29.9225,32.302499999999995,32.0175,31.427500000000002,29.955000000000002,31.11,30.475,32.30500000000001,31.127499999999998,31.6025,30.765
31.1325,31.2275,11.43,31.729999999999997,31.782500000000002,30.424999999999997,31.88,31.9425,31.722499999999997,30.3825,32.0,31.074999999999996,31.36,31.195,32.1025,30.1725
30.7325,30.259999999999998,12.5125,31.729999999999997,31.432499999999997,30.5425,32.2225,31.442500000000003,32.28,30.2725,31.6425,31.0925,32.472500000000004,31.490000000000002,31.075000000000003,31.0075
30.6375,29.83,11.04,31.97,31.7775,31.275,32.0225,32.010000000000005,31.3375,30.61,31.944999999999997,31.2025,31.632499999999997,30.667500000000004,32.585,31.3475
31.854999999999997,30.087500000000002,11.5775,31.317499999999995,31.950000000000003,30.805,32.167500000000004,31.94,31.762500000000003,30.3525,31.3325,31.7625,32.185,30.9825,32.0875,30.222500000000004
31.2925,31.470000000000006,11.195,31.502499999999998,32.182500000000005,30.097500000000004,32.355,31.395,31.4025,30.4925,31.340000000000003,30.6175,31.88,31.497500000000002,32.04,30.515
